user,location,text
Rey_Mendoza_,Deseando regresar a Sevillla,@Tonicanto1 Claro. No pensarías que iban a perseguir a los responsables de permitir que España sea el país con mayo… https://t.co/lAq3OClQ7H
xevtfm,"Villahermosa, Tabasco, México","#BrevesVT Por la pandemia de #covid19, la alcaldesa de #Comalcalco, @lorenamendezd anunció que los funcionarios des… https://t.co/Lh8JZTfMFQ"
AnaMafud,"Monterrey, Nuevo León",Casos #Covid19 en #NuevoLeón : https://t.co/ihto97UlCR
merimercurly,"Torrejón de Ardoz, España","Un baño de espuma bien calentito, vino, cigarros, uno enfrente del otro y que encima te haga un masaje en los pies.… https://t.co/H5xLhcq4pU"
sosciudadanos,,⚫️El Gobierno pide otro préstamo de 13.830 millones para pagar las pensiones #CoronavirusEspaña #coronavirus… https://t.co/5nY4T27ihm
Vive_USA,,"La agencia gubernamental dijo en un comunicado que no se ha aprobado ningún medicamento relacionado al #Covid19. 

https://t.co/IYZBI77wtT"
ApexPredator_35,"Memphis, TN",Amirite? #COVID19 #Stimuluscheck #waiting https://t.co/dwDwedryqm
TiempoyFormaCHS,,"#ELDATO Sube a 50 los casos positivos de #COVID19 en Chiapas. Entre los nuevos casos, se encuentra una menor de eda… https://t.co/BFMuFA8dbJ"
Joliepupe,"Quito, Ecuador",Y seguro muchos de ellos serán lo que se quejan que en #Quito hayan adecuado un hospital con apoyo del @EjercitoECU… https://t.co/MZApVou0ZU
drfior,"Buenos Aires, Argentina","El #distanciamiento #social deberá extenderse hasta 2022, según un #estudio de #Harvard #University y #Revista… https://t.co/JOHLHvaDwA"
Soyarrupemisse1,,Fuerte abrazo para mis niños y niñas de Quinto Año de Vida. ''A' 🤗😇 y otro para la familia Arrupe 😇🤗 #SoyArrupe… https://t.co/0p5kM9vRFt
DrHectorLeon,"Bogotá, D.C., Colombia","#SiMuerenLosMedicos
#covid19 #RegimenEspecialYA
Otros dos médicos fallecen por covid-19 en Colombia https://t.co/WmPapCkEh4"
DELFOSproyecta,México,"La cifra oficial de defunciones de ayer revela el retraso de reportes de muertes por #COVID19.

A la incertidumbre… https://t.co/vjRHrsx1RR"
fdavaloso,Made in San Francisco de Quito,"😕 ¡Así está la industria de los eventos con el #Covid19 en el mundo!
Será en 20.21 @tomorrowland #SeeYa #TML21 https://t.co/EF94wG2WZc"
Cicpc444,Avenida Urdaneta.,"|
Con la conciencia de nuestro pueblo y la acción efectiva de la Unión Cívico, Militar y Policial, se logrará corta… https://t.co/JSEHgmmjNW"
E13e12,"Morelia, Michoacán de Ocampo",Con esta en la contingencia y robandole las cesáreas ! #COVID19  #amistad #MiercolesDeGanar 🙃🙂😅😊🤓😎 https://t.co/77rjUTrlse
CONUEE_mx,"Álvaro Obregón, México D.F.","Es momento de cuidar nuestra salud, y nuestra economía por eso, es importante que todos #EnCasa hagan uso eficiente… https://t.co/7UQnMjKxup"
televertv,"Veracruz, Mexico.","Este es el panorama del #Covid19 en el mundo 
https://t.co/vZfHS7BTZS https://t.co/EWkUIRqBhP"
HoyCDMX,Ciudad de México,"Turistas que no respetaron contingencia por #COVID19 nadan junto a tiburón en playa de #Cancún 🦈 

https://t.co/8QRgbr0QoW"
ieee_mhidalgo,,"Según un estudio de @Ipsos, las Fuerzas Armadas y los Cuerpos de Seguridad son las instituciones en España que mejo… https://t.co/NihHc3hHOy"
SinergiaOsorno,,"📢Hoy en #PuntodeEncuentro conversaremos con el Consejero Regional, Alexis Casanova, sobre los diversos recursos a i… https://t.co/aAJb0RCt8V"
MVSNoticias,"ÜT: 19.466002,-99.168275",La @CNDH hizo un llamado a las autoridades del Centro Penitenciario y de Reinserción Social de #Cuautitlán implemen… https://t.co/5ohUj2Upag
